model,patient_id,transition_index,tc_method1_raw,tc_method2_flow_warped,current_empty,previous_empty
standard,P001,113,0.961899,0.965416,0,0
standard,P001,114,0.786572,0.909532,0,0
standard,P001,115,0.75537,0.89375,0,0
standard,P001,116,0.979703,0.981577,0,0
standard,P001,117,0.973005,0.973005,0,0
standard,P001,118,0.774263,0.908456,0,0
standard,P001,119,0.951316,0.982682,0,0
standard,P001,120,0.919759,0.957024,0,0
standard,P001,121,0.965217,0.981726,0,0
standard,P001,122,0.907736,0.973787,0,0
standard,P001,123,0.950656,0.972376,0,0
standard,P001,124,0.953878,0.976939,0,0
standard,P001,125,0.960601,0.980957,0,0
standard,P001,126,0.984912,0.984912,0,0
standard,P001,127,0.921312,0.962705,0,0
standard,P001,128,0.906839,0.972742,0,0
standard,P001,129,0.92674,0.974439,0,0
standard,P001,130,0.9284,0.965278,0,0
standard,P001,131,0.953527,0.977522,0,0
standard,P001,132,0.981729,0.97807,0,0
standard,P001,133,0.979235,0.979235,0,0
standard,P001,134,0.932297,0.983561,0,0
standard,P001,135,0.952025,0.968373,0,0
standard,P001,136,0.816009,0.956571,0,0
standard,P001,137,0.966116,0.967742,0,0
standard,P001,138,0.955905,0.955905,0,0
standard,P001,139,0.898632,0.898632,0,0
standard,P001,140,0.88358,0.941762,0,0
standard,P001,141,0.836325,0.941999,0,0
standard,P001,142,0.945431,0.974274,0,0
standard,P001,143,0.832247,0.900709,0,0
standard,P011,1,0.996161,0.996161,0,0
standard,P011,2,0.995845,0.995845,0,0
standard,P011,3,0.996181,0.996181,0,0
standard,P011,4,0.997149,0.997149,0,0
standard,P011,5,0.996531,0.996531,0,0
standard,P011,6,0.99811,0.99811,0,0
standard,P011,7,0.997481,0.997481,0,0
standard,P011,8,0.996231,0.996231,0,0
standard,P011,9,0.994676,0.994676,0,0
standard,P011,10,0.995641,0.995641,0,0
standard,P011,11,0.992583,0.992583,0,0
standard,P011,12,0.993536,0.993536,0,0
standard,P011,13,0.9917,0.9917,0,0
standard,P011,14,0.996619,0.996619,0,0
standard,P011,15,0.990764,0.990764,0,0
standard,P011,16,0.995991,0.995991,0,0
standard,P011,17,0.991602,0.991602,0,0
standard,P011,18,0.986658,0.986658,0,0
standard,P011,19,0.986328,0.986328,0,0
standard,P011,20,0.980053,0.980053,0,0
standard,P011,21,0.98655,0.98655,0,0
standard,P011,22,0.99193,0.986116,0,0
standard,P011,23,0.9833,0.990027,0,0
standard,P011,24,0.977355,0.985036,0,0
standard,P011,25,0.976015,0.979101,0,0
standard,P011,26,0.970916,0.966912,0,0
standard,P011,27,0.980787,0.982774,0,0
standard,P011,28,0.981436,0.97546,0,0
standard,P011,29,0.96129,0.956633,0,0
standard,P011,30,0.951001,0.954235,0,0
standard,P011,31,0.942589,0.942589,0,0
standard,P011,32,0.97191,0.97191,0,0
standard,P011,33,0.984191,0.985111,0,0
standard,P011,34,0.986889,0.984579,0,0
standard,P011,35,0.984532,0.987332,0,0
standard,P011,36,0.991667,0.987561,0,0
standard,P011,37,0.986837,0.986837,0,0
standard,P011,38,0.99095,0.99095,0,0
standard,P011,39,0.994701,0.994701,0,0
standard,P011,40,0.989722,0.989722,0,0
standard,P011,41,0.990381,0.990381,0,0
standard,P011,42,0.991857,0.991857,0,0
standard,P011,43,0.990618,0.990618,0,0
standard,P011,44,0.994876,0.994876,0,0
standard,P011,45,0.992511,0.992511,0,0
standard,P011,46,0.990185,0.990185,0,0
standard,P011,47,0.97165,0.972028,0,0
standard,P011,48,0.976462,0.976462,0,0
standard,P011,49,0.987691,0.988095,0,0
standard,P011,50,0.985915,0.985915,0,0
standard,P011,51,0.99593,0.99593,0,0
standard,P011,52,0.99007,0.99007,0,0
standard,P011,53,0.987472,0.987472,0,0
standard,P011,54,0.982456,0.982456,0,0
standard,P011,55,0.987664,0.987664,0,0
standard,P011,56,0.98415,0.98415,0,0
standard,P011,57,0.989534,0.989534,0,0
standard,P011,58,0.988893,0.988893,0,0
standard,P011,59,0.977314,0.978038,0,0
standard,P011,60,0.989595,0.989595,0,0
standard,P011,61,0.993222,0.993222,0,0
standard,P011,62,0.992832,0.992832,0,0
standard,P011,63,0.994968,0.994968,0,0
standard,P011,64,0.993553,0.993553,0,0
standard,P011,65,0.996782,0.996782,0,0
standard,P011,66,0.996789,0.996789,0,0
standard,P011,67,0.992883,0.992883,0,0
standard,P011,68,0.995739,0.995739,0,0
standard,P011,69,0.99576,0.99576,0,0
standard,P011,70,0.992603,0.992603,0,0
standard,P011,71,0.992613,0.992613,0,0
standard,P011,72,0.998946,0.998946,0,0
standard,P011,73,0.996486,0.996486,0,0
standard,P011,74,0.991927,0.991927,0,0
standard,P011,75,0.988053,0.98768,0,0
standard,P011,76,0.991887,0.991887,0,0
standard,P011,77,0.988628,0.988277,0,0
standard,P011,78,0.992126,0.992126,0,0
standard,P011,79,0.988821,0.986321,0,0
standard,P011,80,0.982418,0.982418,0,0
standard,P011,81,0.989622,0.981371,0,0
standard,P011,82,0.978261,0.987141,0,0
standard,P011,83,0.987033,0.980799,0,0
standard,P011,84,0.990755,0.973349,0,0
standard,P011,85,0.989571,0.976006,0,0
standard,P011,86,0.990705,0.981337,0,0
standard,P011,87,0.972006,0.985893,0,0
standard,P011,88,0.99376,0.9914,0,0
standard,P011,89,0.989474,0.984676,0,0
standard,P011,90,0.994152,0.994152,0,0
standard,P011,91,0.992169,0.992169,0,0
standard,P011,92,0.991742,0.991742,0,0
standard,P011,93,0.976944,0.975515,0,0
standard,P011,94,0.988816,0.98645,0,0
standard,P011,95,0.986616,0.980916,0,0
standard,P011,96,0.993519,0.990875,0,0
standard,P011,97,0.986963,0.986963,0,0
standard,P011,98,0.991876,0.991876,0,0
standard,P011,99,0.982045,0.982045,0,0
standard,P011,100,0.976578,0.976522,0,0
standard,P011,101,0.993159,0.993159,0,0
standard,P011,102,0.987815,0.987815,0,0
standard,P011,103,0.981481,0.981481,0,0
standard,P011,104,0.984338,0.984338,0,0
standard,P011,105,0.98151,0.98151,0,0
standard,P011,106,0.985075,0.985075,0,0
standard,P011,107,0.993125,0.991577,0,0
standard,P011,108,0.98318,0.98318,0,0
standard,P011,109,0.990826,0.990826,0,0
standard,P011,110,0.981118,0.981118,0,0
standard,P011,111,0.97821,0.97821,0,0
standard,P011,112,0.992969,0.992969,0,0
standard,P011,113,0.991061,0.991061,0,0
standard,P011,114,0.993449,0.993449,0,0
standard,P011,115,0.991926,0.991926,0,0
standard,P011,116,0.995399,0.995399,0,0
standard,P011,117,0.995013,0.995013,0,0
standard,P011,118,0.996928,0.996928,0,0
standard,P011,119,0.993884,0.993884,0,0
standard,P011,120,0.994661,0.994661,0,0
standard,P011,121,0.998086,0.998086,0,0
standard,P011,122,0.995385,0.995385,0,0
standard,P011,123,0.995363,0.995363,0,0
standard,P011,124,0.987654,0.987654,0,0
standard,P011,125,0.984164,0.984164,0,0
standard,P011,126,0.98798,0.98798,0,0
standard,P011,127,0.985362,0.985362,0,0
standard,P011,128,0.987814,0.987814,0,0
standard,P011,129,0.988262,0.988262,0,0
standard,P011,130,0.99093,0.99093,0,0
standard,P011,131,0.992048,0.992048,0,0
standard,P011,132,0.992024,0.992024,0,0
standard,P011,133,0.993145,0.993145,0,0
standard,P011,134,0.990061,0.990061,0,0
standard,P011,135,0.988541,0.988541,0,0
standard,P011,136,0.992,0.992,0,0
standard,P011,137,0.991629,0.991629,0,0
standard,P011,138,0.989784,0.990591,0,0
standard,P011,139,0.991004,0.991004,0,0
standard,P011,140,0.972182,0.977166,0,0
standard,P011,141,0.978018,0.968391,0,0
standard,P011,142,0.980152,0.984637,0,0
standard,P011,143,0.981858,0.9718,0,0
standard,P011,144,0.971743,0.975628,0,0
standard,P011,145,0.973607,0.985444,0,0
standard,P011,146,0.961067,0.968481,0,0
standard,P011,147,0.990754,0.978422,0,0
standard,P011,148,0.984127,0.974878,0,0
standard,P011,149,0.945078,0.97072,0,0
standard,P011,150,0.989101,0.969121,0,0
standard,P011,151,0.987487,0.971371,0,0
standard,P011,152,0.991973,0.984,0,0
standard,P011,153,0.973244,0.977145,0,0
standard,P011,154,0.988855,0.977449,0,0
standard,P011,155,0.96741,0.984636,0,0
standard,P011,156,0.99757,0.99757,0,0
standard,P011,157,0.994772,0.994772,0,0
standard,P011,158,0.986416,0.986111,0,0
standard,P011,159,0.989948,0.989948,0,0
standard,P011,160,0.957,0.979296,0,0
standard,P011,161,0.982888,0.982888,0,0
standard,P011,162,0.995899,0.995899,0,0
standard,P011,163,0.994196,0.994196,0,0
standard,P011,164,0.996925,0.996925,0,0
standard,P011,165,0.998635,0.998635,0,0
standard,P011,166,0.997273,0.997273,0,0
standard,P011,167,0.99694,0.99694,0,0
standard,P011,168,0.99966,0.99966,0,0
standard,P011,169,0.998299,0.998299,0,0
standard,P011,170,0.995902,0.995902,0,0
standard,P011,171,0.996232,0.996232,0,0
standard,P011,172,0.99691,0.99691,0,0
standard,P011,173,0.998281,0.998281,0,0
standard,P011,174,0.998284,0.998284,0,0
standard,P011,175,0.996571,0.996571,0,0
standard,P011,176,0.993486,0.993486,0,0
standard,P011,177,0.995202,0.995202,0,0
standard,P011,178,0.995202,0.995202,0,0
standard,P011,179,0.995899,0.995899,0,0
standard,P011,180,0.985289,0.985289,0,0
standard,P011,181,0.994517,0.994517,0,0
