pc_unix,dev_us,ax,ay,az,gx,gy,gz,mx_raw,my_raw,mz_raw,mx,my,mz,host_qw,host_qx,host_qy,host_qz,host_roll,host_pitch,host_yaw,chip_qw,chip_qx,chip_qy,chip_qz,chip_roll,chip_pitch,chip_yaw,diff_deg,rel_roll,rel_pitch,rel_yaw,cal_acc,cal_gyr,cal_mag,cal_rv
1788937739.0155528,3000524190.0,-9.66015625,0.8359375,-1.71875,0.0,-0.056640625,0.015625,35.4375,-5.125,-23.5625,35.4375,-5.125,-23.5625,-0.0009971597924347921,-0.7686614898104058,0.07385750864202933,0.6353767293283477,153.65140668265818,77.58924449662557,-32.289812266472595,0.45013427734375,0.59539794921875,0.489501953125,-0.45086669921875,153.311636465151,77.84278657178287,57.166139174484464,0.7097704001717173,,,,3,0,3,3
1788937739.0155528,3000528396.0,-9.62109375,0.8359375,-1.7578125,0.00390625,-0.046875,0.015625,35.4375,-5.125,-23.5625,35.4375,-5.125,-23.5625,-0.0009503555971282298,-0.7685649267237988,0.07371671255120044,0.635509949981056,153.66667489509106,77.61306063199045,-32.266738779170794,0.45013427734375,0.59539794921875,0.489501953125,-0.45086669921875,153.311636465151,77.84278657178287,57.166139174484464,0.7090975500981497,,,,3,0,3,3
1788937739.0312457,3000532656.0,-9.578125,0.8359375,-1.6796875,0.009765625,-0.041015625,0.02734375,35.875,-3.0,-24.625,35.875,-3.0,-24.625,-0.0009318483506926048,-0.7684908705383241,0.07358135021660271,0.6356152125761322,153.67931548858766,77.63194273558311,-32.24445530545438,0.45025634765625,0.5953369140625,0.4893798828125,-0.45098876953125,153.2449088904964,77.86999325257604,57.099037509838126,0.3941198314188334,,,,3,0,3,3
1788937739.0380986,3000536362.0,-9.578125,0.8359375,-1.640625,0.013671875,-0.0390625,0.02734375,35.875,-3.0,-24.625,35.875,-3.0,-24.625,-0.0009113382255787945,-0.7684243966684919,0.0734717686297445,0.6357082784435956,153.68897934932963,77.64846968181533,-32.22742970120955,0.45025634765625,0.5953369140625,0.4893798828125,-0.45098876953125,153.2449088904964,77.86999325257604,57.099037509838126,0.395508125463966,,,,3,0,3,3
1788937739.0361454,3000540592.0,-9.6171875,0.8359375,-1.6796875,0.013671875,-0.0390625,0.02734375,35.875,-3.0,-24.625,35.875,-3.0,-24.625,-0.0008868837864074368,-0.7683530259786315,0.07334290327108743,0.6358094521524493,153.70329413759816,77.66684550656443,-32.20449140587561,0.45025634765625,0.5953369140625,0.4893798828125,-0.45098876953125,153.2449088904964,77.86999325257604,57.099037509838126,0.3989855622470943,,,,3,0,3,3
1788937739.0470872,3000544628.0,-9.62109375,0.875,-1.71875,0.017578125,-0.033203125,0.03125,35.9375,-4.125,-20.0625,35.9375,-4.125,-20.0625,-0.0008507041930067746,-0.7682802913392884,0.07324291491907467,0.635908913018328,153.71373434514734,77.68451219280401,-32.1887455325162,0.45037841796875,0.5953369140625,0.4891357421875,-0.4510498046875,153.11175620159747,77.8624260936587,56.947349540849665,1.0760791828165304,,,,3,0,3,3
1788937739.0471306,3000559923.0,-9.62109375,0.9140625,-1.7578125,0.015625,-0.021484375,0.029296875,35.9375,-4.125,-20.0625,35.9375,-4.125,-20.0625,-0.0007509477387319628,-0.7680860838099313,0.07281450043211411,0.6361927793223047,153.78643595764882,77.7395201285373,-32.088919435367394,0.45050048828125,0.59539794921875,0.48895263671875,-0.45111083984375,153.0110823311526,77.88484050434296,56.84248267105602,0.6596917450456062,,,,3,0,3,3
1788937739.0590308,3000569189.0,-9.62109375,0.9140625,-1.83203125,0.00390625,-0.017578125,0.02734375,32.625,-5.6875,-19.0,32.625,-5.6875,-19.0,-0.0008211229425823485,-0.7678325760963913,0.07321710082147798,0.6364524467621993,153.5481054877899,77.75715710924315,-32.35427894817393,0.4505615234375,0.59539794921875,0.48883056640625,-0.45111083984375,152.93703923214272,77.87111267694182,56.7580263014878,1.111508636047372,,,,3,0,3,3
1788937739.0748234,3000571471.0,-9.6171875,0.9140625,-1.796875,0.0078125,-0.009765625,0.029296875,32.625,-5.6875,-19.0,32.625,-5.6875,-19.0,-0.0008295354807448485,-0.7677699616007296,0.07328450943883622,0.6365202106852613,153.50105510147097,77.76337529950841,-32.40610910015373,0.4505615234375,0.59539794921875,0.48883056640625,-0.45111083984375,152.93703923214272,77.87111267694182,56.7580263014878,1.1067282806702226,,,,3,0,3,3
1788937739.0750208,3000575301.0,-9.62109375,0.9140625,-1.83203125,0.0078125,-0.015625,0.029296875,32.625,-5.6875,-19.0,32.625,-5.6875,-19.0,-0.0008307705759515172,-0.7676646529313846,0.07344815935369575,0.6366283518250982,153.41312063387954,77.77189816811259,-32.50724960177576,0.4505615234375,0.59539794921875,0.48883056640625,-0.45111083984375,152.93703923214272,77.87111267694182,56.7580263014878,1.0971480998129788,,,,3,0,3,3
1788937739.0769882,3000579931.0,-9.62109375,0.953125,-1.83203125,0.0078125,-0.015625,0.029296875,32.625,-5.6875,-19.0,32.625,-5.6875,-19.0,-0.0009306212261710764,-0.7675579338862125,0.07368203850575253,0.6367298558055047,153.26907291251254,77.77320660902521,-32.662226934534154,0.4505615234375,0.59539794921875,0.48883056640625,-0.45111083984375,152.93703923214272,77.87111267694182,56.7580263014878,1.0849826139305725,,,,3,0,3,3
